ticker,entry_date,exit_date,return,days_held,allocated,strategy
BRK-B,2025-02-24,2025-03-25,0.04675911571260138,20,1063.610833111808,Strategy C (Fin+Tech only)
TXN,2025-04-24,2025-05-23,0.10206573131066532,20,2546.8220647758117,Strategy C (Fin+Tech only)
BAC,2025-04-30,2025-05-30,0.10874381505161863,20,2037.457651820649,Strategy C (Fin+Tech only)
MSFT,2025-04-30,2025-05-30,0.0673212449230458,20,1629.9661214565194,Strategy C (Fin+Tech only)
V,2025-04-30,2025-05-30,0.04636999017388376,20,1303.9728971652155,Strategy C (Fin+Tech only)
JPM,2025-05-01,2025-06-02,0.04580407115432035,20,1043.1783177321722,Strategy C (Fin+Tech only)
MA,2025-05-01,2025-06-02,0.04376001385944044,20,695.4522118214481,Strategy C (Fin+Tech only)
BRK-B,2025-05-05,2025-06-04,-0.025785612774058903,20,496.75157987246297,Strategy C (Fin+Tech only)
NVDA,2025-05-28,2025-06-27,0.09601801344897125,20,826.7535429385816,Strategy C (Fin+Tech only)
CRM,2025-05-29,2025-06-30,0.024422328287229525,20,620.0651572039362,Strategy C (Fin+Tech only)
AVGO,2025-06-11,2025-07-14,0.09726614532799742,20,2400.8796251409913,Strategy C (Fin+Tech only)
GOOGL,2025-07-24,2025-08-22,0.05499538426569442,20,2755.853560003007,Strategy C (Fin+Tech only)
TXN,2025-07-29,2025-08-27,0.07337658138570392,20,2204.6828480024055,Strategy C (Fin+Tech only)
MSFT,2025-07-30,2025-08-28,-0.08620141591524286,20,1763.7462784019244,Strategy C (Fin+Tech only)
MA,2025-07-31,2025-08-29,0.04890599598306453,20,1410.9970227215397,Strategy C (Fin+Tech only)
BAC,2025-07-31,2025-08-29,0.0885168379030928,20,1128.7976181772315,Strategy C (Fin+Tech only)
AAPL,2025-08-01,2025-09-02,0.12124429404245324,20,752.5317454514876,Strategy C (Fin+Tech only)
BRK-B,2025-08-04,2025-09-03,0.08356357180485885,20,537.5226753224912,Strategy C (Fin+Tech only)
JPM,2025-08-05,2025-09-04,0.025342837941390344,20,403.1420064918684,Strategy C (Fin+Tech only)
NVDA,2025-08-27,2025-09-26,-0.015599943239909035,20,1156.5516813409934,Strategy C (Fin+Tech only)
TXN,2025-10-23,2025-11-21,-0.11145689375913635,20,2847.563523362348,Strategy C (Fin+Tech only)
GOOGL,2025-10-30,2025-12-01,0.1207824828593009,20,2278.0508186898783,Strategy C (Fin+Tech only)
BRK-B,2025-11-03,2025-12-03,0.06633961937680731,20,1822.4406549519026,Strategy C (Fin+Tech only)
JPM,2025-11-04,2025-12-04,0.010789104314313031,20,1457.9525239615223,Strategy C (Fin+Tech only)
V,2025-11-06,2025-12-08,-0.019402299162683156,20,1166.3620191692175,Strategy C (Fin+Tech only)
NKE,2023-01-05,2023-02-06,0.026265244755650143,20,4000.0,Strategy D (2x leveraged)
PG,2023-01-19,2023-02-17,-0.04284864581639195,20,2400.0,Strategy D (2x leveraged)
